Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,37866996882.9157,40866627351.9817,47112470051.7701,48174235294.1176,42693000000,54825411764.7059,78807470588.2353,72428470588.2353,74315882352.9412
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202850
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,11880900000,12446900000,12819200000,13277000000,10363200000,12037000000,13896800000,15271300000,15832800000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,323835,327836,331614,335618,339782,343894,348375,353334,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,33884680851.0638,37204813829.7872,39567978723.4043,40446808510.6383,35837632978.7234,40840212765.9574,46458191489.3617,46192260638.2979,47736702127.6596
Bahrain,BHR,"Population, total",SP.POP.TOTL,637582,661316,710553,764517,823741,888822,960424,1039295,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69476001239.419,71795736172.1561,79611644974.5571,265224515675.034,293732446624.596,321362752441.78,351231654603.692,373979442362.193,416271647911.014,460131689083.083,437415333018.291,450119424622.389
Bangladesh,BGD,"Population, total",SP.POP.TOTL,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217323400,4675767950,5330761500,5517340450,5629916200,5788288000,5168344450,5275242050,6257303500,6720733200,7165000000
Barbados,BRB,"Population, total",SP.POP.TOTL,262063,262425,264148,265776,267298,268706,270002,271288,279598,280171,280711,281207,281698,282147,282318,282336,282467
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,12736780455.1539,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,47723545321.259,54725405751.1559,60031026576.26,64410170653.4569,61371673344.7424,69673747131.87,73775179924.603,72478760370.4258,75961865471.9129
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9133712
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,474271566739.729,500908767351.53,542638913427.921,536726344405.489,529694473501.791,598522422241.851,593614574325.878,644655275111.58,664564181486.953
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,11876844
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1138900000,1172800000,1244650000,1308900000,1400850000,1474950000,1591150000,1707100000,2240200000,2266300000,2293250000,2388300000,2042850000,2420550000,2846700000,3066850000,3515783328.91079
Belize,BLZ,"Population, total",SP.POP.TOTL,240799,248379,256009,263780,271688,279731,287878,296100,364705,373202,380226,385829,390812,395346,402733,411106,417072
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,3519991440.47913,3666222635.13875,4194342686.2178,5349258094.48239,6190270380.49856,6567654954.38903,7034111314.88812,8169048382.83875,11821065853.3838,12701655836.9467,14262408089.9261,14391686313.4641,15686741893.5187,17687623534.6665,17425405083.8797,19673290995.8491,21482643720.2743
Benin,BEN,"Population, total",SP.POP.TOTL,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6899911000,7142316000,7225977000,7423465000,6887364000,7290037000,7874381000,8579242000,8980200000
Bermuda,BMU,"Population, total",SP.POP.TOTL,61550,61867,62142,62386,62555,62711,62834,63010,63449,63578,63831,64107,64382,64648,64749,64698,64636
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,460733418.399276,496110225.710307,559345263.708309,651935430.314445,735348490.428435,860391000.221655,942879878.538879,1255767964.00491,2357504760.78592,2591358009.20276,2583335721.85904,2735683570.46155,2457604333.90927,2768802960.11204,2898227743.75576,3019253885.46989,..
Bhutan,BTN,"Population, total",SP.POP.TOTL,596863,610794,624409,637663,650544,661865,670799,678641,747866,754335,759759,764824,770006,775442,780914,786385,791524
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,8397855484.76908,8141516928.39489,7905485146.44351,8082399639.54305,8773451751.5121,9549122905.32852,11451844902.2214,13120108008.3477,33941126193.9219,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40406111693.1983,44008282879.8842,45135398002.8944,49668296743.8495
Bolivia,BOL,"Population, total",SP.POP.TOTL,8606326,8752736,8900355,9050700,9204287,9360754,9521689,9685960,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,5567772768.81188,5800615466.26648,6728220886.64546,8498894359.38629,10156541538.399,11222796336.5426,12864841905.9543,15778734264.3787,17116926327.6247,18326373366.1105,20484053868.9246,20482608755.379,20226036564.4129,23672712242.2149,24534663636.1778,27592361387.8597,28343394203.4694
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,4159771,4179438,4188002,4178523,4140987,4096493,4063272,4013424,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,5788329609.15755,5489608299.66445,5438863982.88692,7511582173.37724,8957467706.5354,9918907108.09702,9919158482.41085,10567270655.5027,15082637184.0496,16105155856.7708,17031943186.1353,16725908148.5481,14960251610.8975,18750182234.5317,20321150598.0672,19411266967.1044,19400774882.4495
Botswana,BWA,"Population, total",SP.POP.TOTL,1677382,1712254,1744763,1775736,1807146,1839877,1874516,1911201,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,655448231983.527,559983634798.981,509795273806.715,558233745651.874,669289424806.307,891633839894.183,1107626541434.92,1397114486368.67,1795693482853.01,2063514977365.65,1916933898010.99,1873288205059.69,1476107231310.49,1670647398904.9,1951923942083.32,2191131765684.63,2179412080828.59
Brazil,BRA,"Population, total",SP.POP.TOTL,174018282,176301203,178503484,180622688,182675143,184688101,186653106,188552320,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,20241,20796,21430,22134,22881,23665,24493,25366,33878,32699,34657,36395,37135,37809,38319,38985,39471
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,6570999059.70575,6096155747.56182,6333082878.97992,7167725264.75135,8619178799.47025,10547202612.4295,12644616446.1918,13432029495.6785,11400266055.3232,12128168046.7827,13566908401.1864,13469235348.2211,12005799664.2691,14006496614.3195,16681536442.5498,15095084686.1651,15463134387.2013
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,326424,333345,340099,346637,352911,358916,364663,370873,427564,432772,437810,442680,447404,451721,455370,458949,462721
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,13245990274.4581,14183446025.7389,16403043849.8297,21144957990.4681,26157743368.8716,29868657858.0082,34380536495.6739,44431257128.8618,53929397039.2106,59167647387.606,66251582035.9412,68634004792.1,70550652466.6251,84414122840.1687,90509236929.2237,102396840296.147,112211952703.831
Bulgaria,BGR,"Population, total",SP.POP.TOTL,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6444366
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,2968370087.59759,3190371080.94768,3622350062.96053,4740768142.67494,5451688537.60959,6146353173.34929,6547419820.38113,7625722836.76847,12833363045.3367,14106955615.3442,15890066221.2882,16032813503.3707,17725010532.5268,19697516284.3787,18820218690.5948,20324617844.5265,23250214909.5391
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,11925546,12295001,12680897,13082532,13500533,13932123,14373707,14816307,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,870486065.883137,876794723.068586,825394519.423728,784654423.620476,915257323.3961,1117113079.73645,1273375078.44844,1356199387.42308,2644487776.50077,2723586962.84034,2667182199.51333,2576518879.82353,2649680261.44299,2775798697.46022,3338722827.65691,2629391599.50157,2162378759.3467
Burundi,BDI,"Population, total",SP.POP.TOTL,6470194,6634365,6824132,7043154,7310656,7587299,7865547,8161874,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,539227277.626411,563090490.377368,620507387.466174,813260468.873834,924940011.836897,972241676.907662,1107571457.90614,1649621738.63689,1849789985.99572,1996741539.95088,2205099506.99994,2252177124.32402,1821565613.68613,2051842618.70539,2247003344.34242,2539203428.73837,2767599017.44874
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,453317,460293,467046,473383,479370,485115,490728,496190,512554,512893,513415,514104,514679,516649,519741,522331,524877
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,3694168979.32019,4145665969.92864,4501227626.62752,5046693484.31767,5883297159.87352,7066296463.3598,8350531016.65753,10127916459.8983,26556545153.3573,29355665909.7905,33145892168.8958,36685356407.7206,34818073901.4851,36790163687.4421,39994532959.6074,42335646895.7984,46352647034.7775
Cambodia,KHM,"Population, total",SP.POP.TOTL,12462336,12658484,12855241,13050968,13244731,13439202,13639028,13841770,15852803,16073372,16274522,16481304,16725474,16974305,17201724,17423880,17638801
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,10566579294.9831,10953485349.1135,12417251350.4882,15970315034.9903,18826214135.6419,19509852206.9341,20910512974.933,23928250433.0378,33814337044.3765,36098547033.1655,39955552189.795,39667757527.6578,40773241177.0505,45011937346.8384,44347206072.5513,49279410982.826,51326764684.8595
Cameroon,CMR,"Population, total",SP.POP.TOTL,14912631,15309490,15725528,16160340,16610487,17074594,17550407,18049896,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,744773415931.587,738981792355.372,760649334098.005,895540646634.787,1026690238278.25,1173108598778.68,1319264809590.97,1468820407783.26,1527994741907.43,1649265644244.09,1725329192783.02,1743725183672.52,1655684730000.19,2022378748423.23,2190411080134.32,2173339670064.33,2241253230970.34
Canada,CAN,"Population, total",SP.POP.TOTL,30685730,31020855,31359199,31642461,31938807,32242732,32571193,32888886,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,..,..,..,4200288241.15296,4466278065.11226,4909322237.28895,5166281305.12522,5530178440.71376,5941896607.58643,5655358021.43209,6060026520.10608,6600843963.37585,7139428557.71423,..
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,39674,41089,42514,43934,45352,46788,48232,49687,63100,64535,65941,67327,68684,70108,71591,73038,74457
